Artist,Track
Norah Jones,Don't Know Why
Hozier,Someone New
Leon Bridges,Coming Home
Vance Joy,Riptide
Bill Withers,Lovely Day
Jack Johnson,Better Together
Maroon 5,This Love
Florence and The Machine,Dog Days Are Over
Coldplay,Adventure of a Lifetime
Robyn,Dancing On My Own
Adele,Rolling in the Deep
Justin Bieber,Peaches
Pharrell Williams,Happy
Toto,Africa
Cyndi Lauper,Girls Just Want to Have Fun
Queen,Don't Stop Me Now
Journey,Don't Stop Believin
Bruno Mars,Treasure
Shakira,Hips Don't Lie
Katy Perry,Firework
Taylor Swift,Shake It Off
Pitbull,Timber
Luis Fonsi,Despacito
Doja Cat,Kiss Me More
Olivia Rodrigo,Deja Vu
Lil Nas X,MONTERO
BTS,Dynamite
Cardi B,Up
Billie Eilish,bad guy
Ariana Grande,34+35
Saweetie,Best Friend
Megan Thee Stallion,Body
Dua Lipa,Don't Start Now
Jack Harlow,First Class
Lil Nas X,Industry Baby
Riton,Friday
The Kid LAROI,STAY
24kGoldn,Mood
Travis Scott,Goosebumps
Masked Wolf,Astronaut In The Ocean
Bazzi,Mine
Rosalia,DESPECHA
Bad Bunny,Titi Me Pregunto
Post Malone,Circles
Steve Lacy,Bad Habit
Tones And I,Dance Monkey
Justin Bieber,Sorry
Drake,In My Feelings
DJ Snake,Taki Taki
Shawn Mendes,Theres Nothing Holdin Me Back
Charlie Puth,Light Switch
David Guetta,Im Good
Ava Max,Kings and Queens
Maneskin,Beggin
Sam Smith,Unholy
Tiesto,Don't Be Shy
Becky G,MAMIII
Anitta,Envolver
Beyonce,Break My Soul
Camila Cabello,Don't Go Yet
BLACKPINK,Pink Venom
Lizzo,Juice
SZA,Kill Bill
Khalid,Talk
Zara Larsson,Lush Life
