Artist,Track
Jacques Brel,Ne me quitte pas
Barbara,L’aigle noir
Yves Montand,Les feuilles mortes
Julien Clerc,Ma préférence
Serge Gainsbourg,Je suis venu te dire que je m’en vais
Alain Souchon,Foule sentimentale
Jean-Jacques Goldman,Puisque tu pars
Michel Sardou,La maladie d’amour
Claude François,Comme d'habitude
Joe Dassin,Et si tu n’existais pas
Michel Berger,La groupie du pianiste
Jean-Jacques Goldman,Quand la musique est bonne
Vanessa Paradis,Joe le taxi
Gaël Faye,Petit pays
Ben Mazué,J’attends
Clara Luciani,La grenade
Stromae,Formidable
Angèle,Libre
Gaël Faye,Paris métèque
Aya Nakamura,Djadja
Magic System,Premier Gaou
Fally Ipupa,Eloko Oyo
Dadju,Reine
Vegedream,Ramenez la coupe à la maison
Céline Banza,Te Rembi
Gims,Est-ce que tu m’aimes ?
Maitre Gims,Sapés comme jamais
Claude François,Le lundi au soleil
Claude François,Magnolias for Ever
Zazie,Zen
Grand Corps Malade,Dimanche soir
Lomepal,Trop beau
Yseult,Corps
Orelsan,La quête
Suzane,L’insatisfait
Eddy de Pretto,Random
Clara Luciani,Respire encore
Jain,Makeba
Louane,On était beau
Vianney,Beau-papa
Amir,On dirait
Bruno Mars,Treasure
Mark Ronson ft. Bruno Mars,Uptown Funk
Pharrell Williams,Happy
Daft Punk,Get Lucky
Beyoncé,Love On Top
Avicii,Wake Me Up
Robin Thicke,Blurred Lines
Calvin Harris,Feel So Close
Rihanna,We Found Love
Pitbull ft. Ne-Yo,Give Me Everything
Lady Gaga,Just Dance
Katy Perry,Teenage Dream
LMFAO,Party Rock Anthem
Justin Timberlake,Can’t Stop The Feeling!
Clean Bandit,Rather Be
Maroon 5,Moves Like Jagger
David Guetta ft. Sia,Titanium
Usher,DJ Got Us Fallin’ In Love
Taio Cruz,Dynamite
Icona Pop,I Love It
Black Eyed Peas,I Gotta Feeling
Justin Bieber,Sorry
Dua Lipa,Don’t Start Now
Lizzo,About Damn Time
The Weeknd,Blinding Lights
Tones and I,Dance Monkey
Doja Cat,Say So
Sam Smith ft. Disclosure,Latch
Jason Derulo,Want to Want Me
Miley Cyrus,Party In The USA
Queen,Don't Stop Me Now
Phil Collins,You Can't Hurry Love
Supertramp,The Logical Song
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
Jacques Brel,Ne me quitte pas
